Carrier	VAT	Format	Checksum	Registered	Name	Address	Country
CODOGNOTTO ITALIA SPA	IT00474360310	Valid	Pass	Yes	CODOGNOTTO ITALIA S.P.A.	VIA CALNUOVA 18 , 31040 SALGAREDA TV	IT
FIDEL SRL	IT04434190288	Valid	Pass	Yes	FIDEL S.R.L. IN LIQUIDAZIONE	VIA NEWTON 10 , 35028 PIOVE DI SACCO PD	IT
TORELLO TRASPORTI SRL	IT1897330641	Invalid					
Raben Transport	PL7810020506	Valid	Pass	Yes	RABEN TRANSPORT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	POZNAŃSKA 71, 62-023 GĄDKI	PL
AMBROGIO TRASPORTI SPA	IT00510420011	Valid	Pass	Yes	AMBROGIO TRASPORTI - S.P.A.	VIA KENNEDY 1 , 10048 VINOVO TO	IT
Transportes Broliveira, Lda	PT500425353	Valid	Pass	Yes	TRANSPORTES BROLIVEIRA LDA	RUA DAS AREIAS N 17 AREIAS GONDEMARIA, GONDEMARIA, 2490-124 GONDEMARIA	PT
WITRANS Izak, Wenerski Sp. jawna	PL5291580400	Valid	Pass	Yes	WITRANS IZAK WENERSKI SPÓŁKA JAWNA	PŁOCKA 2, 05-825 GRODZISK MAZOWIECKI	PL
VILLART LOGISTIC S.L.	ESB25479726	Valid	Pass	Yes	N/A	N/A	ES
Ibero Linhas - Transportes, Lda. (as agents for WEC LINES)	PT500361703	Valid	Pass	Yes	IBERO LINHAS TRANSPORTES LDA	RUA DO PROGRESSO 471 3, PERAFITA, 4455-533 PERAFITA	PT
Lafante Kamil Stańczak	PL5252341571	Valid	Pass	Yes	KAMIL STAŃCZAK	WARSZAWA , AL. SOLIDARNOŚCI 66 M89, 00-240	PL
Van Steenbergen Transport Arendonk	BE0404199394	Valid	Pass	Yes	BVBA Transport Arendonk	Hoge Mauw 210, 2370 Arendonk	BE
Schenker Deutschland AG	DE811228366	Valid	Pass	Yes	N/A	N/A	DE
Troyka International Transport & Trade Inc.	TR8590062681	Invalid					
Unterer GesmbH	ATU32430107	Valid	Pass	Yes	Unterer Gesellschaft m.b.H.	Luna 32, AT-6250 Kundl	AT
NOLAN TRANSPORT	IE4571931W	Valid	Pass	Yes	ROADTEAM LOGISTICS SOLUTIONS UNLIMITED COMPANY	NOLAN TRANSPORT, OAKLANDS, NEW ROSS, CO WEXFORD	IE
Magnus Logistics, UAB	LT10001806917	Invalid					
Trans-Logistic Dębica	PL8722095735	Valid	Pass	Yes	PIOTR SZCZERBIŃSKI	ZAWIERZBIE 21E, 39-204	PL
VISLINE Sp.zo.o	PL5862232082	Valid	Pass	Yes	VISLINE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	RDESTOWA 160, 81-577 GDYNIA	PL
STALKO Przybysz i Wspólnicy Spółka Jawna	PL1250022090	Valid	Pass	Yes	STALKO PRZYBYSZ I WSPÓLNICY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	JÓZEFA PONIATOWSKIEGO 65, 05-220 ZIELONKA	PL
BTG Feldberg & Sohn GmbH & Co. KG	DE170014163	Valid	Pass	Yes	N/A	N/A	DE
Codognotto Austria GmbH	ATU64785511	Valid	Pass	No			
TRANS ITALIA SRL	IT02032300655	Valid	Pass	Yes	TRANS ITALIA S.P.A.	PIAZZA MARTINEZ 5 , 84085 MERCATO SAN SEVERINO SA	IT
Gefco United Kingdom	GB272369149	Valid	Pass	Yes	STELLANTIS UK LIMITED	PINLEY HOUSE, 2 SUNBEAM WAY, COVENTRY, WEST MIDLANDS, CV3 1ND, GB	GB
Transport Gapiński Sp. z o.o. Sp. k.	PL7661997146	Valid	Pass	Yes	TRANSPORT GAPIŃSKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA	SKOCKA 20, 62-100 WĄGROWIEC	PL
J&S Speed Kft	HU12939848	Valid	Pass	Yes	J & S SPEED FUVAROZÓ KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG	AGOSTYANI ÚT 91 2890 TATA	HU
Euroafrica Shipping Lines Cyprus Limited	CY10109723K	Valid	Pass	Yes	EUROAFRICA SHIPPING LINES CYPRUS LIMITED	ΛΕΩΦ. ΜΑΚΑΡΙΟΥ ΙΙΙ 229 MELIZA,FLOOR 4, 3105 ΛΕΜΕΣΟΣ	CY
Geodis Logistics Netherlands B.V.	NL003871678B01	Valid	Fail	See suggestions			
TRANSMEJA JSC	LT451301917	Valid	Pass	Yes	UŽDAROJI AKCINĖ BENDROVĖ "TRANSMĖJA"	Metalistų g. 3, Šiaulių m., Šiaulių m. sav.	LT
AGROLOGISTIKA	LT100001123912	Valid	Pass	Yes	UAB "Agrologistika"	Tilžės g. 60, Klaipėdos m., Klaipėdos m. sav.	LT
VLANTANA UAB	LT633770418	Valid	Pass	Yes	Uždaroji akcinė bendrovė "Vlantana"	Dvaro g. 1, Gobergiškės k., Dauparų-Kvietinių sen., Klaipėdos r. sav.	LT
Hecny Express LLC	RU7715679440	Invalid					
Zammler Ukraine Ltd	35007717	Invalid					
DHL Global Forwarding Sp. z o.o.	PL7280257292	Valid	Pass	Yes	'DHL GLOBAL FORWARDING' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	KRAKOWIAKÓW 44, 02-255 WARSZAWA	PL
SIA GEFCO BALTIC	LV50003993021	Valid	Pass	Yes	SIA "CEVA Logistics Baltic"	Vesetas iela 7, Rīga, LV-1013	LV
Alba-Zöchling	HU10268526	Valid	Pass	No			
CMA CGM UK	GB802298146	Valid	Pass	Yes	MACANDREWS & CO LTD	6TH FLOOR, 75 KING WILLIAM STREET, LONDON, EC4N 7BE, GB	GB
Fracht FWO Polska Sp. z o.o.	PL7542735115	Valid	Pass	Yes	FRACHT FWO POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	INFLANCKA 4A, 00-189 WARSZAWA	PL
GEFCO PORTUGAL TRANSITÁRIOS LDA	PT502719176	Valid	Pass	Yes	CEVA LOGISTICA EMPRESARIAL, LDA	RUA DR ANTONIO LOUREIRO BORGES EDIFICIO N 1 ARQUIPARQUE PISO,  5 B 1, ALGÉS, 1495-131 ALGÉS	PT
GEFCO Magyarorszag Kft.	HU13632142	Valid	Pass	Yes	CEVA GROUND LOGISTICS HUNGARY KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG	IRINYI JOZSEF UTCA 4-20. 1117 BUDAPEST	HU
WEC Lines	NL007138015B01	Valid	Fail	See suggestions			
Waberer's Polska Sp. z o.o.	PL7772306116	Valid	Pass	No			
A.M.P. Wieczorek Sp. z o.o.	PL8222212882	Valid	Pass	Yes	A.M.P. WIECZOREK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	CHOSZCZÓWKA DĘBSKA 8C, 05-311 DĘBE WIELKIE	PL
SPEDPARTNER	PL6621768189	Valid	Pass	Yes	SPED PARTNER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	LESZCZE 15, 28-400 PIŃCZÓW	PL
Bollore Logistics UK Ltd.	GB432381373	Valid	Pass	Yes	CEVA AIR & OCEAN UK LIMITED	CEVA HOUSE, EXCELSIOR ROAD, ASHBY DE LA ZOUCH, LEICESTERSHIRE, LE65 9BA, GB	GB
Stellar-Logistic	UA36591814	Invalid					
ID LOGISTICS POLSKA S.A.	PL5252425204	Valid	Pass	Yes	ID LOGISTICS POLSKA SPÓŁKA AKCYJNA	WALENTEGO ROŹDZIEŃSKIEGO 91, 40-203 KATOWICE	PL
GONDRAND	FR91602002461	Valid	Pass				
Yusen Logistics UK Ltd	GB593411144	Valid	Pass	Yes	YUSEN LOGISTICS (UK) LIMITED	SDC, UNIT 4, ROMAN ROAD, MILTON MALSOR, NORTHAMPTON, NN7 2FR, GB	GB
Codognotto Polska Sp. Z.o.o.	PL7251959614	Valid	Pass	Yes	CODOGNOTTO POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	AL. TADEUSZA KOŚCIUSZKI 80/82 MP.VII, 90-437 ŁÓDŹ	PL
smet srl	IT00316190651	Valid	Pass	Yes	SMET - S.P.A.	VIA VELLETRI 49 , 00198 ROMA RM	IT
DHL FREIGHT SPAIN SL	ESB83716563	Valid	Pass	No			
Okura Uluslararası Tasımacılık Iletisim Tic. ve San. A.Ş	TR6400108811	Invalid					
Friday Spółka z ograniczoną odpowiedzialnością  Spółka komandytowa	PL5222993085	Valid	Pass	Yes	FRIDAY SZCZYGIELSKI SPÓŁKA KOMANDYTOWA	RYŻOWA 33A, 02-495 WARSZAWA	PL
PCC Intermodal	PL7491968481	Valid	Pass	Yes	PCC INTERMODAL SPÓŁKA AKCYJNA	HUTNICZA 16, 81-061 GDYNIA	PL
Borchard Lines Ltd	GB243408284	Valid	Pass	Yes	BORCHARD LINES LTD	5TH FLOOR, BEVIS MARKS HOUSE, 24 BEVIS MARKS, LONDON, EC3A 7JB, GB	GB
Transcurbel-2 S.A.	ESA58869470	Valid	Pass				
ARBA SP. Z O.O.	PL7611452717	Valid	Pass	Yes	"ARBA" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	SIERAKOWO 55, 06-300 PRZASNYSZ	PL
Marcotran Polska Sp. z o.o.	PL9691579265	Valid	Pass	Yes	MARCOTRAN POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	POZNAŃSKA 9, 44-120 PYSKOWICE	PL
F.lli Dissegna Srl	IT01838650248	Valid	Pass	Yes	F.LLI DISSEGNA S.R.L.	VIA CA VICO 29 , 36028 ROSSANO VENETO VI	IT
GEFCO Ukraine	UA358940826599	Invalid					
Luis Simoes Logistica Integrada,s.a.	ESA79502357	Valid	Pass				
Scantek LTD Sp. z o. o.	PL1080005217	Valid	Pass	Yes	'SCANTEK LTD' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	ŁACIARSKA 28, 50-146 WROCŁAW	PL
Charter Sp. z .o.o.	PL8121766337	Valid	Pass	Yes	'CHARTER' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	GUZOWSKA 35, 96-315 WISKITKI	PL
MGT Transport Krajowy i Międzynarodowy Grycz Mariusz	PL7621904664	Valid	Pass	Yes	MARIUSZ GRYCZ	WYSZKÓW , MONTE CASSINO 3, 07-200	PL
Europejskie Centrum Logistyczne Sp. z o.o.	PL5170355762	Valid	Pass	Yes	'EUROPEJSKIE CENTRUM LOGISTYCZNE' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	PRZEMYSŁOWA 13 B, 35-105 RZESZÓW	PL
NORBERT DENTRESSANGLE LOGISTICS POLAND	PL9820243290	Valid	Pass	Yes	GXO LOGISTICS POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	MARCINA FLISA 4, 02-247 WARSZAWA	PL
NTG Road Sp.zo.o.	PL5272674838	Valid	Pass	Yes	NTG ROAD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	MEBLOWA 7, 04-460 WARSZAWA	PL
LOCKWOOD HAULAGE LTD.	GB117334490	Valid	Pass	Yes	LOCKWOOD HAULAGE LTD	RIPLEY ROAD, SAWMILLS, AMBERGATE, DERBY, DE56 2JR, GB	GB
LOTOS BALTICA	LT100002817211	Valid	Pass	Yes	UAB "LOTOS BALTICA"	Pramonės g. 2, Šalčininkų m., Šalčininkų sen., Šalčininkų r. sav.	LT
GEFCO (Suisse) SA	CHE105880361MWST	Invalid					
The Overland Transport & Trading Co Ltd	GB128303003	Valid	Pass	Yes	THE OVERLAND TRANSPORT & TRADING CO LTD	L&#x27;ANCRESSE LODGE, WATERSIDE, BILLINGHAY, LINCOLN, LN4 4BU, GB	GB
AEROTRANS PIOTR CYRSON	PL5311413267	Valid	Pass	Yes	PIOTR CYRSON	NOWY DWÓR MAZOWIECKI , WRZOSOWA 12, 05-101 NOWY DWÓR MAZOWIECKI 3	PL
C.H.ROBINSON PL-Warsaw 2	NL	Invalid					
Simple Way Sp z o.o sp.k	PL5951455352	Valid	Pass	Yes	SIMPLE WAY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA	WIGURY 20, 64-400 MIĘDZYCHÓD	PL
TRANSINTERTOP LTD	HU11475165	Valid	Pass	No			
XPO LOGISTICS_ Transport Solution FTL PACKED France	FR37386220123	Valid	Pass				
Hart Logistics sp. z o. o. sp. k.	PL7792413387	Valid	Pass	Yes	HART LOGISTICS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA	ŚWIERZAWSKA 10, 60-321 POZNAŃ	PL
GEFCO France	FR83542050315	Valid	Pass				
Geis PL Sp. z o.o.	PL5261025183	Valid	Pass	Yes	GEIS PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	SOSNOWIEC-PIEŃKI 7, 95-010 SOSNOWIEC-PIEŃKI	PL
Locotranssped Sp. Z O.O.	PL7831682017	Valid	Pass	Yes	LOCOTRANSSPED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI	BÓŻNICZA 15 M6, 61-751 POZNAŃ	PL
