Reckitt to check	TRANSPOREON ID	Ticontract ID	Name	CreditorNumber_BillingDetail	VAT	CountryId	Street_1	Street_2	Zip	Location	CarrierStatus
VAT Nr missing	270235	106220	H. Essers Transport Company Nederland BV	233639	NULL	NL	J.F. Kennedylaan 42	NULL	5555 XD	Valkenswaard	active
	336720	106221	ITF Polska Sp. z o.o.	233891	PL1181733941	PL	Warszawska 109/6	NULL	05-092	Lomianki	disabled
	263360	106223	ABC Czepczynski Spolka z o.o. Sp.k.	263360	PL5951442504	PL	Wigury 20	NULL	64400	Międzychód	active
	233811	106281	VAN CARGO S.A.	Van Cargo	PL5242125771	PL	PRZECLAWSKA 8	NULL	03-879	WARSAW	active
VAT Nr missing	234810	106350	Schenker Sp z o.o.	234810	NULL	PL	Ordona 2a	NULL	1237	Warszawa	active
	244040	106373	Hellmann Worldwide Logistics Polska Sp.z o.o sp. k.	257567	PL1230005823	PL	Sokołowska 10	NULL	05-090	Raszyn	active
	339773	106412	Vesta Ukraine	234135	NULL	UA	Moscow p-t. 6, of 505	NULL	4073	Kiev	active
VAT Nr missing	342148	106554	DHL EXPRESS SP. Z O.O.	230858	PL0000000000	PL	OSMAŃSKA 2	NULL	2823	WARSZAWA	active
VAT Nr wrong	234204	106762	TARGOR-TRUCK SP. Z O.O.	234204	7582045405	PL	ŁAWY 97	NULL	07-411	RZEKUŃ	active
	308816	106979	Ekol Logistics	229745	TR0000000000	TR	Ekol Caddesi 2	Sultanbeyli	34935	İstanbul	active
	322241	106986	Tradecor s.r.l.	230895	IT 00 160 120 266	IT	Via Lucia Frischin 1	NULL	39100	Bolzano (BZ)	disabled
	242116	107057	DHL Freight Belgium nv	242116	BE0401264551	BE	Eppegemsesteenweg 31 - 33	NULL	1850	Grimbergen	active
	326071	107302	MANVESTA	326071	LT582970113	LT	P. Paulaicio str. 13B	NULL	74111	Jurbarkas	active
	260224	107575	CAMPILLO PALMERA SL	260224	ESB73783003	ES	CTRA MADRID KM 373	P I LA SERRETA	30500	MOLINA DE SEGURA - MURCIA	active
VAT Nr missing	256443	107919	ATC CARGO SA	238181	NULL	PL	Polska 13A	NULL	81-339	Gdynia	active
	243850	108020	Bei-Trans	243850	NULL	UA	Junakiva,9	Генерала Юнакива, 9	79039	Lviv	active
VAT Nr missing	265117	108573	DHL Global Forwarding (Italy) S.p.A. – Div. Freight	228860	NULL	IT	Via delle Industrie 1	NULL	20060	Pozzuolo Martesana	active
	233418	108809	Patinter España S.L	244443	PT500212848	ES	Poligono Ind. Okiturri	NULL	1207	San Roman de San Roman	active
	228639	108818	CODOGNOTTO ITALIA SPA	228639	IT00474360310	IT	Via Calnuova 18/20.	NULL	31040	Salgareda	active
	231501	108826	FIDEL SRL	231501	IT04434190288	IT	UGO FOSCOLO,08	NULL	35131	PADOVA	active
VAT Nr wrong	241753	109066	TORELLO TRASPORTI SRL	241753	1897330641	IT	G.MARCONI, 251	NULL	83025	MONTORO INFERIORE	active
	225404	109263	Raben Transport	225404	PL7810020506	PL	71 Poznanska	NULL	62023	Gadki	active
VAT Nr missing	229245	109320	AMBROGIO TRASPORTI SPA	229245	NULL	IT	tognasca 5	NULL	21013	Gallarate	active
	236111	109447	Transportes Broliveira, Lda	236111	PT500425353	PT	Estrada de Ourém nº15, Areias	NULL	2490-124	Gondemaria (Ourém)	active
VAT Nr missing	234562	109513	WITRANS Izak, Wenerski Sp. jawna	234562	NULL	PL	Plocka 2	NULL	05-825	Grodzisk Mazowiecki	active
